company_id,type,rule_id,text,confidence_pct
ABB,con,DEFAULT_CON,Further financial analysis is recommended.,60
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
ABB,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
ABB,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 2.93 is elevated and warrants monitoring.,92
ADANIENSOL,con,CON_06,Return on equity below 10% reflects weak shareholder returns.,85
ADANIENSOL,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
ADANIENSOL,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIENT,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
ADANIENT,con,CON_06,Return on equity below 10% reflects weak shareholder returns.,85
ADANIENT,pro,DEFAULT_PRO,Company has an established operating business.,60
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated and warrants monitoring.,92
ADANIGREEN,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
ADANIGREEN,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIPORTS,con,DEFAULT_CON,Further financial analysis is recommended.,60
ADANIPORTS,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
ADANIPORTS,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIPOWER,con,DEFAULT_CON,Further financial analysis is recommended.,60
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
ADANIPOWER,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
AMBUJACEM,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
AMBUJACEM,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
APOLLOHOSP,con,DEFAULT_CON,Further financial analysis is recommended.,60
APOLLOHOSP,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
APOLLOHOSP,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
ASIANPAINT,con,DEFAULT_CON,Further financial analysis is recommended.,60
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
ASIANPAINT,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
ASIANPAINT,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
ATGL,con,DEFAULT_CON,Further financial analysis is recommended.,60
ATGL,pro,DEFAULT_PRO,Company has an established operating business.,60
AXISBANK,con,CON_01,Debt-to-equity ratio of 8.25 is elevated and warrants monitoring.,92
AXISBANK,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
AXISBANK,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BAJAJ-AUTO,con,DEFAULT_CON,Further financial analysis is recommended.,60
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJ-AUTO,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
BAJAJ-AUTO,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BAJAJ-AUTO,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
BAJAJFINSV,con,CON_01,Debt-to-equity ratio of 4.79 is elevated and warrants monitoring.,92
BAJAJFINSV,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJFINSV,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BAJAJHLDNG,con,DEFAULT_CON,Further financial analysis is recommended.,60
BAJAJHLDNG,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
BAJAJHLDNG,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BAJAJHLDNG,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BAJFINANCE,con,CON_01,Debt-to-equity ratio of 3.82 is elevated and warrants monitoring.,92
BAJFINANCE,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
BAJFINANCE,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BAJFINANCE,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BANKBARODA,con,CON_01,Debt-to-equity ratio of 12.14 is elevated and warrants monitoring.,92
BANKBARODA,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
BANKBARODA,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BEL,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BEL,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.61 is elevated and warrants monitoring.,92
BHARTIARTL,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
BHARTIARTL,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BHARTIARTL,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
BHEL,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
BHEL,con,CON_03,Operating margins remain weak and indicate pricing or cost pressure.,82
BHEL,con,CON_06,Return on equity below 10% reflects weak shareholder returns.,85
BHEL,pro,DEFAULT_PRO,Company has an established operating business.,60
BOSCHLTD,con,DEFAULT_CON,Further financial analysis is recommended.,60
BOSCHLTD,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BOSCHLTD,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
BOSCHLTD,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BOSCHLTD,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
BPCL,con,CON_03,Operating margins remain weak and indicate pricing or cost pressure.,82
BPCL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BPCL,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
BPCL,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BPCL,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
BRITANNIA,con,DEFAULT_CON,Further financial analysis is recommended.,60
BRITANNIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BRITANNIA,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
BRITANNIA,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BRITANNIA,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
CANBK,con,CON_01,Debt-to-equity ratio of 14.87 is elevated and warrants monitoring.,92
CANBK,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
CANBK,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
CHOLAFIN,con,CON_01,Debt-to-equity ratio of 6.86 is elevated and warrants monitoring.,92
CHOLAFIN,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
CHOLAFIN,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
CHOLAFIN,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
CIPLA,con,DEFAULT_CON,Further financial analysis is recommended.,60
CIPLA,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
CIPLA,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
CIPLA,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
CIPLA,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
COALINDIA,con,DEFAULT_CON,Further financial analysis is recommended.,60
COALINDIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
COALINDIA,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
COALINDIA,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
COALINDIA,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
COALINDIA,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
DABUR,con,DEFAULT_CON,Further financial analysis is recommended.,60
DABUR,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
DABUR,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
DABUR,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
DIVISLAB,con,DEFAULT_CON,Further financial analysis is recommended.,60
DIVISLAB,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
DIVISLAB,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
DIVISLAB,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
DIVISLAB,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
DLF,con,CON_06,Return on equity below 10% reflects weak shareholder returns.,85
DLF,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
DLF,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
DLF,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
DMART,con,CON_03,Operating margins remain weak and indicate pricing or cost pressure.,82
DMART,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
DMART,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
DRREDDY,con,DEFAULT_CON,Further financial analysis is recommended.,60
DRREDDY,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
DRREDDY,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
DRREDDY,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
EICHERMOT,con,DEFAULT_CON,Further financial analysis is recommended.,60
EICHERMOT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
EICHERMOT,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
EICHERMOT,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
EICHERMOT,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
EICHERMOT,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
GAIL,con,DEFAULT_CON,Further financial analysis is recommended.,60
GAIL,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
GAIL,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
GAIL,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
GODREJCP,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
GODREJCP,con,CON_04,Company reported a net loss in the latest financial year.,98
GODREJCP,con,CON_06,Return on equity below 10% reflects weak shareholder returns.,85
GODREJCP,pro,DEFAULT_PRO,Company has an established operating business.,60
GRASIM,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
GRASIM,pro,DEFAULT_PRO,Company has an established operating business.,60
HAL,con,DEFAULT_CON,Further financial analysis is recommended.,60
HAL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HAL,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
HAL,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
HAL,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HAL,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
HAVELLS,con,DEFAULT_CON,Further financial analysis is recommended.,60
HAVELLS,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
HAVELLS,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HAVELLS,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
HCLTECH,con,DEFAULT_CON,Further financial analysis is recommended.,60
HCLTECH,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HCLTECH,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
HCLTECH,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HCLTECH,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
HDFCBANK,con,CON_01,Debt-to-equity ratio of 6.81 is elevated and warrants monitoring.,92
HDFCBANK,con,CON_05,Interest coverage below 1.5x indicates elevated debt servicing risk.,94
HDFCBANK,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
HDFCBANK,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
HDFCBANK,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
HDFCLIFE,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
HDFCLIFE,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
HDFCLIFE,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HEROMOTOCO,con,DEFAULT_CON,Further financial analysis is recommended.,60
HEROMOTOCO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HEROMOTOCO,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
HEROMOTOCO,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
HEROMOTOCO,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HEROMOTOCO,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
HINDALCO,con,CON_06,Return on equity below 10% reflects weak shareholder returns.,85
HINDALCO,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
HINDALCO,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
HINDALCO,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HINDUNILVR,con,DEFAULT_CON,Further financial analysis is recommended.,60
HINDUNILVR,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HINDUNILVR,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
HINDUNILVR,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
HINDUNILVR,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HINDUNILVR,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
ICICIBANK,con,CON_01,Debt-to-equity ratio of 6.45 is elevated and warrants monitoring.,92
ICICIBANK,con,CON_05,Interest coverage below 1.5x indicates elevated debt servicing risk.,94
ICICIBANK,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
ICICIBANK,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ICICIGI,con,DEFAULT_CON,Further financial analysis is recommended.,60
ICICIGI,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
ICICIGI,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ICICIGI,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
ICICIGI,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
ICICIPRULI,con,CON_06,Return on equity below 10% reflects weak shareholder returns.,85
ICICIPRULI,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
ICICIPRULI,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ICICIPRULI,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
INDIGO,con,DEFAULT_CON,Further financial analysis is recommended.,60
